standard_number,title,scope_description,category,latest_version,year_published,source,needs_review,review_reason
IS 2783,"Balaclava Caps, Wool, Plain-knitted","Balaclava Caps, Wool, Plain-knitted",Textiles,,1976,archive_org_bis,True,scope_too_short (4 words)
IS 216,Coal tar pitch,Coal tar pitch,Petroleum,,2006,archive_org_bis,True,scope_too_short (3 words)
IS 1242,Handloom Cotton Shirting,Handloom Cotton Shirting,Textiles,Amendments: 2,1975,archive_org_bis,True,scope_too_short (3 words)
IS 12437,Zirconium powder for use in explosive and pyrotechnic industry,Zirconium powder for use in explosive and pyrotechnic industry,Chemicals,Amendments: 1,1988,archive_org_bis,True,scope_too_short (9 words)
IS 12448-2-3,"General Examination, Electrical Continuity and Contact Resistance Tests, Insulation Tests and Voltage Stress Tests, Section 3: Insulation Tests","General Examination, Electrical Continuity and Contact Resistance Tests, Insulation Tests and Voltage Stress Tests, Section 3: Insulation Tests",Electronics,,1988,archive_org_bis,False,
IS 2987,Direction of operation of controls for machine tools - Recommendations,Direction of operation of controls for machine tools - Recommendations,Mechanical,,1992,archive_org_bis,False,
IS 2990,Tenons,Tenons,Mechanical,,1986,archive_org_bis,True,scope_too_short (1 words)
IS 2997,Air circulator type electric fans and regulators,Air circulator type electric fans and regulators,Electrical,Amendments: 8,1964,archive_org_bis,True,scope_too_short (7 words)
IS 3005-2,"Grey Cast Iron Ingot Moulds, Stools and Slag Ladles, Part II: Grey Cast Iron Ingot Moulds of Mass More than Eight Tonnes","Grey Cast Iron Ingot Moulds, Stools and Slag Ladles, Part II: Grey Cast Iron Ingot Moulds of Mass More than Eight Tonnes",Mechanical,Amendments: 1,1979,archive_org_bis,False,
IS 3014,Ferroniobium (Ferrocolumbium),Ferroniobium (Ferrocolumbium),Mechanical,,1993,archive_org_bis,True,scope_too_short (2 words)
IS 2911-1-1,"DESIGN AND CONSTRUCTION OF PILE FOUNDATIONS — CODE OF PRACTICE, Part 1: CONCRETE PILES, Section 1: Driven Cast In-situ Concrete Piles","DESIGN AND CONSTRUCTION OF PILE FOUNDATIONS — CODE OF PRACTICE, Part 1: CONCRETE PILES, Section 1: Driven Cast In-situ Concrete Piles",Cement & Construction,,2010,archive_org_bis,False,
